id,id 2,talent_id,effect_type,value,is_percent,Картинка активная,Картинка неактивная
1,1,Атака,stat_increase,15,false,Атака+.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/eyyPbmNpdj2boDky3pDkHXoHKUDoEhJ2_4750ccddc28076a5261f433d6b5544178adbaccc71620fb2be84799af9f51199.png),Атака+_бел.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/ECmWbeNGe33quEU1ENDkzM3GTIxEHczm_e7a79b56bb1beea024a090847dad46bc5a0f26e13002e25ecef15d2f925b9cdf.png)
2,2,Защита,stat_increase,17,false,Защита+.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/KWhhC1lYTecPwcvDpSxtcLr9UCsvyxo8_f8f30cad5e700e6f474df36d5a46b9308218e565f697d38bd29aef5de3eaefd7.png),Защита+_бел.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/3fPLAMG1hqMwx9j3b3gpMaykjS0UkiLA_66821a98a156639e589a13efd76e6ccf5c2c56bbfe8d92d3501988daafe43971.png)
3,3,Жизни,stat_increase,35,false,Здоровье+.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/NRv9YwyGAwONlkL8liP5MG1cTFpdZMPU_8ee6f9a17f4c0a93f943806461e71901f53d90b0a9a8182fd724ae98afcde4a6.png),Здоровье+_бел.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/sS89sNcHd8ffHufTvmIMU1PK99udHmiY_71d9585e500a022bf5071ba02bb854f18eeb2449f21437a8062b6d055c8961ee.png)
4,4,Атака,stat_increase,3,true,Атака%.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/DHyTu8arraClNM0iSvFlK3HUKxegPlKv_8b51dc81a5c09514ebad3ed52facdbf12b3fb3418b74d0eb9eeeb8cc6e172a5c.png),Атака%_бел.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/2qQgCxermZWXRR5MQtuTDDU1XPiDa6K8_80e94826790236ae21d25964b5e3dc38250fac63ee8e015ff525771d152c2d84.png)
5,5,Защита,stat_increase,3,true,Защита%.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/kdIUfEKOW2Wiupt8gFQiMVimeUx4ASDj_055d4ad7fe0b48c7c6f1a1ecf47dd220638c8c7e14223887ef2ad0f288f5b86c.png),Защита%_бел.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/JIv6r6oHaBtfdPxltVCQPxBVVlRz6bLN_059fab5e0a2711bfe259037dceff01545b5daa4b2e7644adb7f6252951989d20.png)
6,6,Жизни,stat_increase,3,true,Здоровье%.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/C0qdB16QvZvH7DKBrqdtzIPNXfYNMdYR_8c16c1ba217b30b6f40eeede9dcd10a7db39e2636bae2c8a305ab434d5c56b5d.png),Здоровье%_бел.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/VsupWNxhDmPQ74ZmaEdMhKIavK10sfNW_73c97ea106994f646b7ead1fbd92c2156b7a22e100a3856c90a3c664d112b1df.png)
7,7,Атака,stat_increase,4,true,Атака%.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/DHyTu8arraClNM0iSvFlK3HUKxegPlKv_8b51dc81a5c09514ebad3ed52facdbf12b3fb3418b74d0eb9eeeb8cc6e172a5c.png),Атака%_бел.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/2qQgCxermZWXRR5MQtuTDDU1XPiDa6K8_80e94826790236ae21d25964b5e3dc38250fac63ee8e015ff525771d152c2d84.png)
8,8,Защита,stat_increase,4,true,Защита+.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/KWhhC1lYTecPwcvDpSxtcLr9UCsvyxo8_f8f30cad5e700e6f474df36d5a46b9308218e565f697d38bd29aef5de3eaefd7.png),Защита+_бел.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/3fPLAMG1hqMwx9j3b3gpMaykjS0UkiLA_66821a98a156639e589a13efd76e6ccf5c2c56bbfe8d92d3501988daafe43971.png)
9,9,Жизни,stat_increase,4,true,Здоровье%.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/C0qdB16QvZvH7DKBrqdtzIPNXfYNMdYR_8c16c1ba217b30b6f40eeede9dcd10a7db39e2636bae2c8a305ab434d5c56b5d.png),Здоровье%_бел.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/VsupWNxhDmPQ74ZmaEdMhKIavK10sfNW_73c97ea106994f646b7ead1fbd92c2156b7a22e100a3856c90a3c664d112b1df.png)
10,10,Исцеление,ability,2,true,Лечение.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/CWGcyaNPH0VL8yOqWBier4ASxq33rRnT_cc81490a0120e3243c707b7c6d10615e36f04c681156954f53b5568c930881cb.png),Лечение_бел.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/PR8usbWDsuhHZPbHxg7LQyIanj2SqW3s_98149c5e6efbe68d55c9d31ea28c5f1b08db773c07935c9fcdc22d919ef11653.png)
