id,Название,Картинка,Active
1,Кожаные перчатки,Leather_gloves.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/2YrHQg76ZhG1My1rJn9GuDa3gM3XEZfp_e91ce5f4c10a487f4e35219a026d0e41687083ab7d3be0830234718f57765882.png),False
2,Кожаный наплечник,Leather_shoulder.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/kNrUtShu7NVD5BM7TRmAaJqGw9Jr148y_4b7597c41c93751318dc2f645860e6f8dc28b295285dc6e21d45690426429786.png),False
3,Кольцо с шипами,Spiked_ring.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/qagK3cJYPWTPOXWnYM0Ne0yBVLmMDm7c_6aca88af280fc56cd3ebd3ee4bcb21058ba6d99ed10a27a01844efdb3cdcfd2b.png),False
4,Тигриная шкура,Tiger_skin.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/iXxTyAZFFbRDGUbZnBhIHY5D60fsh2Yq_ed8f5476c44b5306aed2bdc31a3cbbfcf0632ee4ae8b84e196e3920b596eedfc.png),False
5,Старый свиток,Scroll.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/0i7kockFboIqzdJ05LPw47aLO281XKUU_ccdd44e3583aa28d4055621fb32a938df7aa560f9813eb2842f66582a41526b6.png),False
6,Золотой медальон,Medallion.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/vQAhiEF4A0ZyGXNpVTkioba0bV2QFiwX_547b8baf46895c18d3c14d99626cd80e625fcf83ac2ceb55d37ab3f019954b80.png),False
7,Кожаная броня,Armor.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/5MOVmyn9dHX0iwi8FixnRofPH2SP1raK_0965010dc4128d8d09f0026f40f8da48e8ad1fb880c9857abc3b5c1b6145d25d.png),False
8,Кожаные ботинки,Boots.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/twXPvD9JGTszA44B11XFeCBZ9sVtUOfh_dcf40da48dd3f8eed456576560069ad9b7821c8e8a3b81853c2ae3e6a87f4374.png),False
9,Руна сражений,Rune.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/KwIrpXaXjWjNy2ftJMCYXxC5M3qTZlkq_f2cc94ad285fdc43a56e237df71b57f2bbd35ddc47ee4ef83dd85c9d603f4eef.png),False
10,Стальной наплечник,Steel_Shoulder.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/EHmA0aOJNQ7BJprpDNEgu6MZ7ITEIovG_35a5ab77d3dc9386370beab00c9e1d417fd5a879a1b1c9b1de81c2f60092c3e1.png),False
11,Лампа,Lamp.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/MAopLRrerhXUASgMdUGYI9GzcZ2EBkZf_a20c8fecead2d019e58f9ba76a19f59f527da9441c96aeebf39e68310a465789.png),False
12,Кожаные наручи,Bracers.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/ZbxGvZIso8zg6pMDYCZLKcK2c98AGGbK_406d9e65726ef5740e0da93a78705e9d474ef718efc303f02892ae9277a169c0.png),False
13,Магическая пластина,Magic_slab.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/CxdiR9xRlFjCOWOpjs22sgD2sh34W6F0_3d90e5bbba7b7c54c4c788af277242116e1bc39f6ec9d9c61ba8d9c103c14f32.png),False
14,Наковальня,Anvil.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/J5CsnLwDBvayVaxZjAPFx0SPlA5hRKru_16854d16434640551c2022e7b0df2331cf9b3d0cc652ab91991bb3564d90b09a.png),False
15,Круглый щит,Shield.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/IobLObNM74tjeozRszp4ANezZlNjSaz7_d63c3c256a1d60495184a1ee502980823309b2ce1acd3f9846dfa4674bf26c07.png),False
16,Ядовитые клыки,Fangs.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/bK0PkMgSqfU1SGTDDIjsjaXzSXxa1fW7_d83a0e1d6f4eab35c0aae8295e5b3f8d9b2751c0db28a9370f03d744d6b1ae19.png),False
17,Магическая нить,Fiber.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/wAWHM6gx9FhwG7frrgqsEPBhZuL3EjKh_f9a99d61fb4488aabd1b19882ddc9b8f6d416d72f87f7a34e72f7fa86baa33e0.png),False
18,Украшенный браслет,bracelet.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/HOpFtDOIO2Xlwm0ogoOs0mf7xjVC8QyQ_217d07550c6039bf7bf37f1e5c11e16105b336636ab4b13fda2b01995211b905.png),False
19,Реликвия Кимбу,Kimbu.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/bpTHW0QmX5IvdO41ZWGbfJoOAyi7MpK0_58709a3d8df49031107447c1dfe4499dbba788a967f9962d1d687e211725bcfb.png),False
20,Пояс алхимика,Belt.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/0tcMV44h32MBSoD6mUaLsagF6nRz0E0X_9366196dd5dd3716b02fae4990f8fe94c2d7180baf77311f88f080f34039b4d7.png),False
21,Королевский нагрудник,Breastplate.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/Bx6gDk5sWSg6sSfeLUOZJL6Kb6wxZMPE_61ba5ebd0673882e24be8c7ccbda9e94e8d4f117d97f4ade8055f4a2d0423e50.png),False
22,Очки алхимика,Glasses.png (https://baserow-backend-production20240528124524339000000001.s3.amazonaws.com/user_files/y1fXQIToHXfkLnkwjFd4TILjwwtUF0cC_b586b4028a3e66b6ee06d9328f47348e173fd4ef8ebefcdaf1def894f87aa894.png),False
