id,Стихия,Целевая звезда,Предмет,Количество
1,Красный,2,Старый свиток,3
2,Красный,2,Кожаная броня,3
3,Красный,2,Кожаные ботинки,2
4,Красный,2,Стальной наплечник,1
5,Красный,3,Кожаная броня,3
6,Красный,3,Стальной наплечник,1
7,Красный,3,Лампа,1
8,Красный,3,Кожаные наручи,4
9,Красный,4,Кожаные наручи,4
10,Красный,4,Магическая нить,1
11,Красный,4,Украшенный браслет,1
12,Красный,4,Пояс алхимика,4
13,Красный,5,Руна сражений,1
14,Красный,5,Круглый щит,4
15,Красный,5,Магическая нить,1
16,Красный,5,Маска культиста,4
17,Синий,2,Тигриная шкура,3
18,Синий,2,Кожаные ботинки,2
19,Синий,2,Руна сражений,3
20,Синий,2,Стальной наплечник,1
21,Синий,3,Руна сражений,3
22,Синий,3,Стальной наплечник,1
23,Синий,3,Лампа,1
24,Синий,3,Круглый щит,4
25,Синий,4,Круглый щит,4
26,Синий,4,Магическая нить,1
27,Синий,4,Украшенный браслет,1
28,Синий,4,Реликвия Кимбу,4
29,Синий,5,Руна сражений,1
30,Синий,5,Кожаные наручи,4
31,Синий,5,Магическая нить,1
32,Синий,5,Перстень паладина,4
33,Зеленый,2,Кожаные перчатки,3
34,Зеленый,2,Золотой медальон,3
35,Зеленый,2,Кожаные ботинки,2
36,Зеленый,2,Стальной наплечник,1
37,Зеленый,3,Золотой медальон,3
38,Зеленый,3,Стальной наплечник,1
39,Зеленый,3,Лампа,1
40,Зеленый,3,Ядовитые клыки,4
41,Зеленый,4,Ядовитые клыки,4
42,Зеленый,4,Магическая нить,1
43,Зеленый,4,Украшенный браслет,1
44,Зеленый,4,Очки алхимика,4
45,Зеленый,5,Руна сражений,1
46,Зеленый,5,Наковальня,4
47,Зеленый,5,Магическая нить,1
48,Зеленый,5,Браслет легиона,4
49,Желтый,2,Старый свиток,3
50,Желтый,2,Кожаная броня,3
51,Желтый,2,Кожаные ботинки,2
52,Желтый,2,Стальной наплечник,1
53,Желтый,3,Кожаная броня,3
54,Желтый,3,Стальной наплечник,1
55,Желтый,3,Лампа,1
56,Желтый,3,Магическая пластина,4
57,Желтый,4,Магическая пластина,4
58,Желтый,4,Магическая нить,1
59,Желтый,4,Украшенный браслет,1
60,Желтый,4,Демоническая шкура,4
61,Желтый,5,Руна сражений,1
62,Желтый,5,Магическая пластина,4
63,Желтый,5,Магическая нить,1
64,Желтый,5,Плащ мастера,4
65,Фиолетовый,2,Кожаные перчатки,3
66,Фиолетовый,2,Золотой медальон,3
67,Фиолетовый,2,Кожаные ботинки,2
68,Фиолетовый,2,Стальной наплечник,1
69,Фиолетовый,3,Золотой медальон,3
70,Фиолетовый,3,Стальной наплечник,1
71,Фиолетовый,3,Лампа,1
72,Фиолетовый,3,Наковальня,4
73,Фиолетовый,4,Наковальня,4
74,Фиолетовый,4,Магическая нить,1
75,Фиолетовый,4,Украшенный браслет,1
76,Фиолетовый,4,Королевский нагрудник,4
77,Фиолетовый,5,Руна сражений,1
78,Фиолетовый,5,Ядовитые клыки,4
79,Фиолетовый,5,Магическая нить,1
80,Фиолетовый,5,Перчатки некроманта,4
